,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,724369376,534593059374,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_2,724886064,534593576136,"(1.4098469018936157, 0.40570029616355896)","(171.6594696044922, 73.97095489501953, 16.28142547607422)",1,5.1829681396484375,1,"(-46.74546813964844, -10.810758590698242, 575.0184326171875)","(0.6115972995758057, 0.5253391265869141, 0.29091930389404297)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_3,725386086,534594076141,"(1.1250132322311401, 0.37198933959007263)","(117.92031860351562, 77.70635986328125, 17.6409912109375)",1,4.6654052734375,1,"(-47.22161865234375, -11.284481048583984, 573.3759765625)","(0.6130960583686829, 0.5264556407928467, 0.28744468092918396)",1,"(1.0798603296279907, 0.46826300024986267)","(109.40139770507812, 67.03860473632812, 13.75825309753418)",1,4.217498779296875,1,"(14.870491981506348, -8.759050369262695, 573.5380859375)","(0.4646160900592804, 0.5200797915458679, 0.28404635190963745)",1,cat
timestep_4,725919446,534594609417,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(1.2085069417953491, 0.25993672013282776)","(133.6729736328125, 90.12252044677734, 22.16009521484375)",1,4.1234588623046875,1,"(18.0047607421875, -8.893603324890137, 573.9008178710938)","(0.4571460783481598, 0.5203748345375061, 0.285026490688324)",1,cat
timestep_5,726419469,534595109479,"(1.095708966255188, -0.17964309453964233)","(112.39154052734375, 138.83082580566406, 39.88850021362305)",1,5.3248291015625,1,"(-47.13555908203125, -12.236019134521484, 573.9705810546875)","(0.6127514243125916, 0.5286824107170105, 0.2887221574783325)",1,"(1.1110044717788696, -0.012073220685124397)","(115.2773208618164, 120.26299285888672, 33.130348205566406)",1,4.75823974609375,1,"(15.447446823120117, -10.063998222351074, 573.1265869140625)","(0.4631948471069336, 0.5231323838233948, 0.28317925333976746)",1,cat
timestep_6,726936161,534595626172,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_7,727436178,534596126171,"(1.0549323558807373, -0.26822832226753235)","(104.69828033447266, 148.64666748046875, 43.46112823486328)",1,5.4886627197265625,1,"(-43.43436813354492, -11.256484985351562, 574.508544921875)","(0.603824257850647, 0.5263585448265076, 0.289258748292923)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_8,727952867,534596642876,"(0.9992108941078186, -0.7191030383110046)","(94.18539428710938, 198.60650634765625, 61.645076751708984)",1,5.670806884765625,1,"(-43.25170135498047, -10.982108116149902, 573.925048828125)","(0.6035110354423523, 0.5257161259651184, 0.28796374797821045)",1,"(1.1271284818649292, -0.616107165813446)","(118.31940460205078, 187.1938934326172, 57.49121856689453)",1,5.385772705078125,1,"(20.462688446044922, -9.967818260192871, 573.2125244140625)","(0.45119333267211914, 0.5228703618049622, 0.283703476190567)",1,cat
timestep_9,728436224,534597126248,"(0.5150628089904785, -0.42587733268737793)","(2.8418772220611572, 166.1151885986328, 49.819190979003906)",1,5.7621917724609375,1,"(-45.61440658569336, -11.258304595947266, 572.82958984375)","(0.6093806028366089, 0.5263841152191162, 0.2859819531440735)",1,"(0.6162444353103638, -0.42969241738319397)","(21.93166732788086, 166.53793334960938, 49.97304916381836)",1,5.4326934814453125,1,"(18.163707733154297, -10.106736183166504, 571.8447265625)","(0.4565774202346802, 0.5232096314430237, 0.2805648148059845)",1,cat
timestep_10,728969582,534597659570,"(0.13763636350631714, -0.762707531452179)","(-68.36662292480469, 203.43817138671875, 63.403663635253906)",1,5.352813720703125,1,"(-46.624839782714844, -11.320845603942871, 573.5927734375)","(0.6116237640380859, 0.5265358090400696, 0.2878100872039795)",1,"(0.2824092209339142, -0.7682589292526245)","(-41.05253601074219, 204.05331420898438, 63.62754440307617)",1,5.036590576171875,1,"(17.2379093170166, -10.1725492477417, 572.6241455078125)","(0.45886439085006714, 0.5233727693557739, 0.282196968793869)",1,cat
timestep_11,729477939,534598167928,"(0.0024479941930621862, -0.22245818376541138)","(-93.8724136352539, 143.5750274658203, 41.615230560302734)",1,5.4015045166015625,1,"(-46.732765197753906, -11.902742385864258, 572.556396484375)","(0.6121093034744263, 0.5279066562652588, 0.28558534383773804)",1,"(0.08872807770967484, -0.20230713486671448)","(-77.59407806396484, 141.3421630859375, 40.80253982543945)",1,5.2274169921875,1,"(16.92436408996582, -10.770296096801758, 570.6300659179688)","(0.4594486951828003, 0.5247785449028015, 0.2778434455394745)",1,cat
timestep_12,729986296,534598676256,"(0.13915130496025085, 0.14103063941001892)","(-68.08080291748047, 103.298095703125, 26.955610275268555)",1,5.110321044921875,1,"(-46.219268798828125, -12.932090759277344, 572.8623657226562)","(0.6108083724975586, 0.5303173065185547, 0.28616636991500854)",1,"(0.23834872245788574, 0.13669976592063904)","(-49.3653678894043, 103.77798461914062, 27.13028335571289)",1,4.957305908203125,1,"(17.612804412841797, -11.878032684326172, 571.6840209960938)","(0.4578726291656494, 0.5273769497871399, 0.2801816165447235)",1,cat
