,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_2,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_3,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_4,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_5,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_6,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_7,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_8,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_9,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
timestep_10,2432142232,5878732512,"(0.7539787888526917, 0.719917893409729)","(47.91779327392578, 39.15359878540039, 3.60894775390625)",1,6.5780029296875,1,"(-69.08056640625, -10.833749771118164, 648.71533203125)","(0.643622636795044, 0.5254483819007874, 0.45494478940963745)",1,"(0.6579641699790955, 0.7582224011421204)","(29.802865982055664, 34.90921401977539, 2.064082384109497)",1,6.441802978515625,1,"(-2.012526273727417, -10.703660011291504, 641.71142578125)","(0.5044256448745728, 0.5247415900230408, 0.4318360686302185)",1,title
