,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,4584238066,4556042082,"(0.5675979256629944, 0.2359282374382019)","(12.753596305847168, 92.78280639648438, 23.128395080566406)",1,4.8120269775390625,1,"(-4.501387596130371, -7.682492256164551, 658.3726806640625)","(0.509414792060852, 0.5185732841491699, 0.4680958688259125)",1,"(0.5566115379333496, 0.19749467074871063)","(10.680815696716309, 97.04150390625, 24.67841911315918)",1,4.98040771484375,1,"(54.65303421020508, -0.9426976442337036, 653.864501953125)","(0.38763853907585144, 0.5042752623558044, 0.46330514550209045)",1,cat
timestep_2,4584754758,4556557562,"(0.5883455276489258, 0.2654065191745758)","(16.668014526367188, 89.51643371582031, 21.939481735229492)",1,4.7447052001953125,1,"(-3.576756000518799, -7.830609321594238, 655.8355712890625)","(0.5075542330741882, 0.5188485980033875, 0.46256688237190247)",1,"(0.5797590017318726, 0.20968519151210785)","(15.048007011413574, 95.69072723388672, 24.18673324584961)",1,4.918243408203125,1,"(55.569000244140625, -1.306316614151001, 651.5328369140625)","(0.3852909803390503, 0.5049492120742798, 0.458408921957016)",1,cat
timestep_3,4584754758,4556557562,"(0.5883455276489258, 0.2654065191745758)","(16.668014526367188, 89.51643371582031, 21.939481735229492)",1,4.7447052001953125,1,"(-3.576756000518799, -7.830609321594238, 655.8355712890625)","(0.5075542330741882, 0.5188485980033875, 0.46256688237190247)",1,"(0.5797590017318726, 0.20968519151210785)","(15.048007011413574, 95.69072723388672, 24.18673324584961)",1,4.918243408203125,1,"(55.569000244140625, -1.306316614151001, 651.5328369140625)","(0.3852909803390503, 0.5049492120742798, 0.458408921957016)",1,cat
timestep_4,4585788138,4557592325,"(0.5936803817749023, 0.2682361900806427)","(17.674535751342773, 89.20288848876953, 21.825387954711914)",1,4.8151702880859375,1,"(-2.620724678039551, -7.772590637207031, 654.01220703125)","(0.5056071877479553, 0.5187072157859802, 0.45859402418136597)",1,"(0.5864110589027405, 0.20398667454719543)","(16.303035736083984, 96.32215118408203, 24.41659927368164)",1,5.074615478515625,1,"(56.62641906738281, -1.2575535774230957, 649.718994140625)","(0.3827399015426636, 0.5047873854637146, 0.45467740297317505)",1,cat
timestep_5,4585788138,4557592325,"(0.5936803817749023, 0.2682361900806427)","(17.674535751342773, 89.20288848876953, 21.825387954711914)",1,4.8151702880859375,1,"(-2.620724678039551, -7.772590637207031, 654.01220703125)","(0.5056071877479553, 0.5187072157859802, 0.45859402418136597)",1,"(0.5864110589027405, 0.20398667454719543)","(16.303035736083984, 96.32215118408203, 24.41659927368164)",1,5.074615478515625,1,"(56.62641906738281, -1.2575535774230957, 649.718994140625)","(0.3827399015426636, 0.5047873854637146, 0.45467740297317505)",1,cat
timestep_6,4585788138,4557592325,"(0.5936803817749023, 0.2682361900806427)","(17.674535751342773, 89.20288848876953, 21.825387954711914)",1,4.8151702880859375,1,"(-2.620724678039551, -7.772590637207031, 654.01220703125)","(0.5056071877479553, 0.5187072157859802, 0.45859402418136597)",1,"(0.5864110589027405, 0.20398667454719543)","(16.303035736083984, 96.32215118408203, 24.41659927368164)",1,5.074615478515625,1,"(56.62641906738281, -1.2575535774230957, 649.718994140625)","(0.3827399015426636, 0.5047873854637146, 0.45467740297317505)",1,cat
timestep_7,4587296539,4559100194,"(0.585694432258606, 0.2634546458721161)","(16.167844772338867, 89.73269653320312, 22.01825523376465)",1,5.029754638671875,1,"(-2.5841619968414307, -7.366716384887695, 652.3035888671875)","(0.50555020570755, 0.5178539156913757, 0.454883337020874)",1,"(0.5759157538414001, 0.18840999901294708)","(14.322921752929688, 98.04814910888672, 25.044788360595703)",1,5.2068634033203125,1,"(56.618370056152344, -0.7824767231941223, 647.727294921875)","(0.38235366344451904, 0.5037398934364319, 0.450377494096756)",1,cat
timestep_8,4587804891,4559608916,"(0.5894267559051514, 0.2715964615345001)","(16.872013092041016, 88.83052825927734, 21.689882278442383)",1,5.0157623291015625,1,"(-2.8812596797943115, -7.508514404296875, 651.3146362304688)","(0.5061737895011902, 0.5181390047073364, 0.4527347683906555)",1,"(0.5692506432533264, 0.20031455159187317)","(13.065420150756836, 96.72904968261719, 24.56467056274414)",1,5.2122802734375,1,"(56.3071174621582, -0.7859144806861877, 646.595703125)","(0.3827696740627289, 0.503713071346283, 0.447868674993515)",1,cat
timestep_9,4588321583,4560125503,"(0.5918646454811096, 0.3171006441116333)","(17.331972122192383, 83.78839111328125, 19.854663848876953)",1,5.0411834716796875,1,"(-3.144343852996826, -7.641596794128418, 650.5390014648438)","(0.5067266225814819, 0.5184085965156555, 0.4510498046875)",1,"(0.5653567314147949, 0.23498186469078064)","(12.330755233764648, 92.8876724243164, 23.166561126708984)",1,5.2638092041015625,1,"(56.07526397705078, -0.8481809496879578, 645.9917602539062)","(0.38312894105911255, 0.5038251280784607, 0.44651541113853455)",1,cat
timestep_10,4588838273,4560642232,"(0.600973904132843, 0.3124105632305145)","(19.05059242248535, 84.30807495117188, 20.043834686279297)",1,5.11590576171875,1,"(-3.664461612701416, -7.869386672973633, 649.72607421875)","(0.5078146457672119, 0.5188763737678528, 0.44928643107414246)",1,"(0.5748739838600159, 0.2164221554994583)","(14.126359939575195, 94.94419860839844, 23.91509437561035)",1,5.3287506103515625,1,"(55.51604080200195, -0.9557393193244934, 645.082275390625)","(0.3841100335121155, 0.5040243864059448, 0.44443875551223755)",1,cat
timestep_11,4589338297,4561142289,"(0.5931271314620972, 0.2284429669380188)","(17.570161819458008, 93.61222076416016, 23.430274963378906)",1,5.270782470703125,1,"(-3.725098133087158, -7.993720054626465, 649.282470703125)","(0.5079457759857178, 0.5191307663917542, 0.44832178950309753)",1,"(0.571179211139679, 0.16966667771339417)","(13.429282188415527, 100.12501525878906, 25.80075454711914)",1,5.4510650634765625,1,"(55.44229507446289, -1.0792068243026733, 644.5009765625)","(0.3841452896595001, 0.5042644143104553, 0.443162202835083)",1,cat
timestep_12,4589854984,4561658945,"(0.5810554027557373, 0.2309793084859848)","(15.292614936828613, 93.3311767578125, 23.327993392944336)",1,5.2327728271484375,1,"(-3.659558057785034, -8.01852035522461, 648.8643798828125)","(0.5078149437904358, 0.5191783905029297, 0.44741183519363403)",1,"(0.5705463290214539, 0.17900004982948303)","(13.309866905212402, 99.09081268310547, 25.424345016479492)",1,5.4156036376953125,1,"(55.52272033691406, -1.1192030906677246, 644.2318115234375)","(0.38392215967178345, 0.5043390989303589, 0.4425928592681885)",1,cat
