,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1401575491,586450190609,"(0.6366952657699585, 0.4976819157600403)","(25.790102005004883, 63.77878952026367, 12.57177448272705)",1,4.2694549560546875,1,"(-22.815113067626953, -31.609973907470703, 673.7373046875)","(0.5455859899520874, 0.5666826963424683, 0.5029894113540649)",1,"(0.6097562909126282, 0.4973934590816498)","(20.70755386352539, 63.81076431274414, 12.583395957946777)",1,4.250579833984375,1,"(36.9530029296875, -30.190433502197266, 674.9156494140625)","(0.42638835310935974, 0.5633715987205505, 0.506801426410675)",1,cat
timestep_2,1402083841,586450698949,"(0.5746042132377625, 0.6437280774116516)","(14.075467109680176, 47.59592819213867, 6.681698322296143)",1,4.4363250732421875,1,"(-21.727664947509766, -33.56653594970703, 671.3133544921875)","(0.543540894985199, 0.5707534551620483, 0.49778589606285095)",1,"(0.5522022843360901, 0.6268772482872009)","(9.848925590515137, 49.463111877441406, 7.361290454864502)",1,4.4156494140625,1,"(38.072479248046875, -32.560752868652344, 672.2764892578125)","(0.42388781905174255, 0.5682607293128967, 0.5013666749000549)",1,cat
timestep_3,1402592196,586451207311,"(0.23619964718818665, 0.3524199426174164)","(-49.77083206176758, 79.87476348876953, 18.430246353149414)",1,4.15087890625,1,"(-22.526386260986328, -33.42647933959961, 670.94482421875)","(0.5451676249504089, 0.5705028176307678, 0.49703195691108704)",1,"(0.24172773957252502, 0.39746782183647156)","(-48.72785186767578, 74.8831787109375, 16.61342430114746)",1,4.1341552734375,1,"(37.19355010986328, -32.23187255859375, 671.708740234375)","(0.4255966246128082, 0.567643940448761, 0.500006377696991)",1,cat
timestep_4,1403092221,586451707270,"(0.11143432557582855, 0.13353988528251648)","(-73.31012725830078, 104.12811279296875, 27.25772476196289)",1,3.956787109375,1,"(-20.351505279541016, -31.840373992919922, 670.3849487304688)","(0.540860116481781, 0.5673366785049438, 0.4955543875694275)",1,"(0.09566743671894073, 0.17825737595558167)","(-76.28484344482422, 99.1731185913086, 25.454275131225586)",1,4.03057861328125,1,"(39.486663818359375, -30.88202667236328, 670.8594970703125)","(0.4209229350090027, 0.5649734139442444, 0.49835458397865295)",1,cat
timestep_5,1403608910,586452223962,"(0.12360190600156784, 0.14763391017913818)","(-71.01448059082031, 102.56640625, 26.689294815063477)",1,4.047760009765625,1,"(-20.383686065673828, -31.663818359375, 671.3291015625)","(0.540861189365387, 0.5669231414794922, 0.49759507179260254)",1,"(0.09628073126077652, 0.18223659694194794)","(-76.16912841796875, 98.7322006225586, 25.293766021728516)",1,4.1692657470703125,1,"(39.43567657470703, -30.667217254638672, 672.0420532226562)","(0.42114436626434326, 0.5644734501838684, 0.500899612903595)",1,cat
timestep_6,1404108940,586452723938,"(0.11097078025341034, 0.15825587511062622)","(-73.39757537841797, 101.389404296875, 26.260955810546875)",1,4.1381378173828125,1,"(-22.624256134033203, -32.24968338012695, 671.435546875)","(0.5453330278396606, 0.5681079030036926, 0.49802058935165405)",1,"(0.08272957801818848, 0.1874406933784485)","(-78.7258071899414, 98.15554809570312, 25.08390235900879)",1,4.2564849853515625,1,"(37.254615783691406, -30.831439971923828, 671.8118896484375)","(0.42549169063568115, 0.5648307800292969, 0.5001435875892639)",1,cat
timestep_7,1404625634,586453240749,"(0.10113608837127686, 0.18370823562145233)","(-75.2530746459961, 98.56912231445312, 25.234432220458984)",1,4.294830322265625,1,"(-21.888404846191406, -32.52152633666992, 671.93798828125)","(0.5438292026519775, 0.5686160326004028, 0.49907824397087097)",1,"(0.08246341347694397, 0.18027135729789734)","(-78.7760238647461, 98.949951171875, 25.37305450439453)",1,4.392578125,1,"(38.00325012207031, -31.382543563842773, 672.68359375)","(0.4240720272064209, 0.5658771991729736, 0.502160906791687)",1,cat
timestep_8,1405142314,586453757375,"(0.10191570222377777, 0.16322606801986694)","(-75.10598754882812, 100.83868408203125, 26.06049346923828)",1,4.194549560546875,1,"(-21.306177139282227, -32.34931182861328, 672.5913696289062)","(0.5426307916641235, 0.5682246685028076, 0.5004450082778931)",1,"(0.08422444760799408, 0.1803039312362671)","(-78.44377136230469, 98.94634246826172, 25.371746063232422)",1,4.31573486328125,1,"(38.63264465332031, -31.094093322753906, 673.1530151367188)","(0.4228592813014984, 0.5652676224708557, 0.503237247467041)",1,cat
timestep_9,1405642332,586454257389,"(0.1163804829120636, 0.16393859684467316)","(-72.37693786621094, 100.75973510742188, 26.03172492980957)",1,4.1965179443359375,1,"(-20.498016357421875, -33.685096740722656, 673.9138793945312)","(0.5409393906593323, 0.5708062052726746, 0.5033590793609619)",1,"(0.1016511395573616, 0.1626559942960739)","(-75.15589904785156, 100.90185546875, 26.083459854125977)",1,4.31976318359375,1,"(39.4256477355957, -32.56377029418945, 675.120849609375)","(0.42145952582359314, 0.5680760145187378, 0.5077042579650879)",1,cat
timestep_10,1406159028,586454774248,"(0.10239102691411972, 0.21016041934490204)","(-75.01631164550781, 95.63806915283203, 24.167583465576172)",1,4.240570068359375,1,"(-22.037389755249023, -33.8445930480957, 673.7325439453125)","(0.5440198183059692, 0.5711483359336853, 0.5030815005302429)",1,"(0.09054575115442276, 0.1806797981262207)","(-77.25113677978516, 98.90469360351562, 25.356597900390625)",1,4.410797119140625,1,"(37.85193634033203, -32.585350036621094, 674.8442993164062)","(0.4245740473270416, 0.5681473612785339, 0.5069124698638916)",1,cat
timestep_11,1406675719,586455290757,"(0.10175887495279312, 0.17785482108592987)","(-75.13557434082031, 99.21773529052734, 25.470474243164062)",1,4.13873291015625,1,"(-21.989990234375, -34.35126495361328, 675.6761474609375)","(0.543815553188324, 0.5720264911651611, 0.5073366761207581)",1,"(0.0899871364235878, 0.16134187579154968)","(-77.35653686523438, 101.04747009277344, 26.136465072631836)",1,4.2719268798828125,1,"(37.94687271118164, -32.8917350769043, 676.5961303710938)","(0.4245492219924927, 0.568645179271698, 0.5107458829879761)",1,cat
timestep_12,1407192410,586455807452,"(0.1088407039642334, 0.20000074803829193)","(-73.79945373535156, 96.76380920410156, 24.57736587524414)",1,4.1473846435546875,1,"(-21.536808013916016, -35.02766418457031, 676.3276977539062)","(0.5428741574287415, 0.5733264088630676, 0.508772075176239)",1,"(0.09132631868124008, 0.18306510150432587)","(-77.10387420654297, 98.64039611816406, 25.26036262512207)",1,4.282257080078125,1,"(38.38909912109375, -33.640037536621094, 677.1840209960938)","(0.42372047901153564, 0.5700921416282654, 0.5121287703514099)",1,cat
