,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1557415779,586606029823,"(0.5910435318946838, 0.5984387993812561)","(17.177047729492188, 52.614288330078125, 8.508218765258789)",1,4.1101226806640625,1,"(-22.909820556640625, -30.28072738647461, 659.0403442382812)","(0.5468837022781372, 0.564892053604126, 0.47099196910858154)",1,"(0.5540459752082825, 0.6097440123558044)","(10.196775436401367, 51.36157989501953, 8.052299499511719)",1,4.0741729736328125,1,"(36.9093017578125, -29.40716552734375, 658.3665771484375)","(0.42454996705055237, 0.5627317428588867, 0.4708399176597595)",1,cat
timestep_2,1557932461,586606546491,"(0.5832574367523193, 0.6431228518486023)","(15.708050727844238, 47.663002014160156, 6.706092357635498)",1,4.32452392578125,1,"(-23.550264358520508, -27.976272583007812, 655.973876953125)","(0.5484579801559448, 0.5603491067886353, 0.46424123644828796)",1,"(0.557125449180603, 0.6685147285461426)","(10.777774810791016, 44.84939193725586, 5.682063579559326)",1,4.272735595703125,1,"(36.28573989868164, -27.135726928710938, 655.0655517578125)","(0.42541924118995667, 0.5582588911056519, 0.463470995426178)",1,cat
timestep_3,1557932461,586606546491,"(0.5832574367523193, 0.6431228518486023)","(15.708050727844238, 47.663002014160156, 6.706092357635498)",1,4.32452392578125,1,"(-23.550264358520508, -27.976272583007812, 655.973876953125)","(0.5484579801559448, 0.5603491067886353, 0.46424123644828796)",1,"(0.557125449180603, 0.6685147285461426)","(10.777774810791016, 44.84939193725586, 5.682063579559326)",1,4.272735595703125,1,"(36.28573989868164, -27.135726928710938, 655.0655517578125)","(0.42541924118995667, 0.5582588911056519, 0.463470995426178)",1,cat
timestep_4,1558949176,586607563245,"(0.5933927297592163, 0.4765602648258209)","(17.620264053344727, 66.11920928955078, 13.42363452911377)",1,3.97137451171875,1,"(-22.319686889648438, -30.445520401000977, 653.4908447265625)","(0.5461128354072571, 0.5655655264854431, 0.4589071571826935)",1,"(0.5651772022247314, 0.5456241965293884)","(12.296889305114746, 58.466468811035156, 10.63827133178711)",1,3.9702911376953125,1,"(37.57188415527344, -30.106239318847656, 652.82861328125)","(0.4224548041820526, 0.5644872188568115, 0.4589497447013855)",1,cat
timestep_5,1559449200,586608063337,"(0.6016810536384583, 0.5012660026550293)","(19.18402099609375, 63.381649017333984, 12.427251815795898)",1,4.024688720703125,1,"(-23.332862854003906, -30.32900619506836, 654.2330322265625)","(0.5481414794921875, 0.5652867555618286, 0.4605874717235565)",1,"(0.5646953582763672, 0.5468310713768005)","(12.205973625183105, 58.33273696899414, 10.589607238769531)",1,4.001739501953125,1,"(36.52296447753906, -30.019420623779297, 653.8671875)","(0.424755722284317, 0.5642532706260681, 0.46106964349746704)",1,cat
timestep_6,1559965890,586608579958,"(0.6051229238510132, 0.28189679980278015)","(19.833393096923828, 87.68919372558594, 21.27446174621582)",1,3.8008880615234375,1,"(-22.09450912475586, -28.814449310302734, 652.84423828125)","(0.5457085967063904, 0.5622378587722778, 0.45738404989242554)",1,"(0.5614826679229736, 0.29048994183540344)","(11.599836349487305, 86.73701477050781, 20.927900314331055)",1,3.82720947265625,1,"(37.6079216003418, -28.5682373046875, 652.4207763671875)","(0.4223365783691406, 0.5613391995429993, 0.45797425508499146)",1,cat
timestep_7,1559965890,586608579958,"(0.6051229238510132, 0.28189679980278015)","(19.833393096923828, 87.68919372558594, 21.27446174621582)",1,3.8008880615234375,1,"(-22.09450912475586, -28.814449310302734, 652.84423828125)","(0.5457085967063904, 0.5622378587722778, 0.45738404989242554)",1,"(0.5614826679229736, 0.29048994183540344)","(11.599836349487305, 86.73701477050781, 20.927900314331055)",1,3.82720947265625,1,"(37.6079216003418, -28.5682373046875, 652.4207763671875)","(0.4223365783691406, 0.5613391995429993, 0.45797425508499146)",1,cat
timestep_8,1560982603,586609596656,"(0.5556586384773254, 0.0781949907541275)","(10.501030921936035, 110.26068115234375, 29.48982810974121)",1,3.7751922607421875,1,"(-22.674423217773438, -28.638418197631836, 652.9320678710938)","(0.5468997955322266, 0.561873733997345, 0.45760709047317505)",1,"(0.5286998152732849, 0.12662328779697418)","(5.414755344390869, 104.8945083618164, 27.536706924438477)",1,3.844146728515625,1,"(37.10652542114258, -28.394779205322266, 653.00732421875)","(0.42345118522644043, 0.5609526634216309, 0.4591750502586365)",1,cat
timestep_9,1561482620,586610096672,"(0.5641283988952637, 0.11285457015037537)","(12.099006652832031, 106.42018127441406, 28.091970443725586)",1,3.7867279052734375,1,"(-23.023143768310547, -30.11223030090332, 654.4100341796875)","(0.5474904179573059, 0.5648273825645447, 0.46093419194221497)",1,"(0.5311548709869385, 0.13877347111701965)","(5.877945899963379, 103.54818725585938, 27.046667098999023)",1,3.844512939453125,1,"(36.83100891113281, -29.70403289794922, 654.2255859375)","(0.4241701364517212, 0.5635810494422913, 0.4618644416332245)",1,cat
timestep_10,1561999310,586610613377,"(0.5603118538856506, 0.10786724835634232)","(11.378939628601074, 106.9728012084961, 28.293119430541992)",1,3.87811279296875,1,"(-23.170215606689453, -29.876293182373047, 655.3966674804688)","(0.5477138161659241, 0.5642836093902588, 0.46307292580604553)",1,"(0.5267238020896912, 0.1361682265996933)","(5.041943073272705, 103.83686828613281, 27.151735305786133)",1,3.922088623046875,1,"(36.697349548339844, -29.356632232666016, 654.9298095703125)","(0.4245394766330719, 0.5628267526626587, 0.46335461735725403)",1,cat
timestep_11,1562516001,586611130067,"(0.5670458078384399, 0.11261468380689621)","(12.649435043334961, 106.44676971435547, 28.10163116455078)",1,3.71502685546875,1,"(-23.378433227539062, -29.61876678466797, 657.505126953125)","(0.5479700565338135, 0.5636316537857056, 0.46765148639678955)",1,"(0.5285247564315796, 0.15108494460582733)","(5.38172721862793, 102.18400573730469, 26.550134658813477)",1,3.8106231689453125,1,"(36.48806381225586, -29.033340454101562, 657.0543212890625)","(0.42524588108062744, 0.5620440244674683, 0.4679195284843445)",1,cat
timestep_12,1563016023,586611630104,"(0.5556009411811829, 0.10752715170383453)","(10.490130424499512, 107.01049041748047, 28.306848526000977)",1,3.76702880859375,1,"(-23.205856323242188, -30.155439376831055, 658.6336669921875)","(0.5475220084190369, 0.5646623373031616, 0.4701230227947235)",1,"(0.5281084775924683, 0.15702828764915466)","(5.303177833557129, 101.52543640136719, 26.31045150756836)",1,3.8694000244140625,1,"(36.66666030883789, -29.620952606201172, 658.489501953125)","(0.42506036162376404, 0.5631633400917053, 0.47109082341194153)",1,cat
