,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,386784515,341698244858,"(-0.0045711020939052105, 0.7971394062042236)","(-95.19669342041016, 30.59694480895996, 0.4945839047431946)",1,4.534881591796875,1,"(-65.64801025390625, -41.93953323364258, 631.76953125)","(0.6404919624328613, 0.5918063521385193, 0.41919833421707153)",1,"(0.03927545249462128, 0.8470975160598755)","(-86.92423248291016, 25.061256408691406, -1.5202058553695679)",1,4.4319610595703125,1,"(-9.278083801269531, -39.46855926513672, 629.2743530273438)","(0.5199826955795288, 0.5863301157951355, 0.4063670337200165)",1,title
timestep_2,387309536,341698769877,"(0.15745361149311066, 0.6064290404319763)","(-64.62773132324219, 51.728912353515625, 8.185957908630371)",1,4.2110443115234375,1,"(-65.76103973388672, -41.07779312133789, 631.79150390625)","(0.6407318115234375, 0.5899651646614075, 0.419180691242218)",1,"(0.22485633194446564, 0.3682590425014496)","(-51.91095733642578, 78.11968994140625, 17.79146385192871)",1,4.5338287353515625,1,"(-9.37478256225586, -38.79711151123047, 629.5557861328125)","(0.5201849937438965, 0.5848676562309265, 0.40691569447517395)",1,title
timestep_3,387809555,341699269888,"(0.3255935609340668, 0.5627170205116272)","(-32.90501022338867, 56.57248306274414, 9.948893547058105)",1,4.3576507568359375,1,"(-65.70089721679688, -41.23841094970703, 629.6129760742188)","(0.6411513090133667, 0.5905323028564453, 0.4144783318042755)",1,"(0.4049111008644104, 0.5219427943229675)","(-17.940284729003906, 61.090518951416016, 11.593350410461426)",1,4.4407196044921875,1,"(-9.161250114440918, -39.38029479980469, 627.9996948242188)","(0.5197766423225403, 0.5862635374069214, 0.40358686447143555)",1,title
timestep_4,388384586,341699844870,"(0.48616281151771545, 0.47686275839805603)","(-2.6106374263763428, 66.08567810058594, 13.411436080932617)",1,4.4962005615234375,1,"(-65.81904602050781, -41.13301086425781, 629.1517944335938)","(0.6415217518806458, 0.5903550386428833, 0.41349780559539795)",1,"(0.555518627166748, 0.3840618431568146)","(10.474626541137695, 76.36864471435547, 17.154098510742188)",1,4.52423095703125,1,"(-9.314687728881836, -39.12511444091797, 627.4178466796875)","(0.520130455493927, 0.5857735872268677, 0.40230315923690796)",1,title
timestep_5,388884609,341700344849,"(0.752032995223999, 0.35454174876213074)","(47.550689697265625, 79.63966369628906, 18.34465980529785)",1,4.3614501953125,1,"(-65.45330810546875, -40.62702178955078, 628.9262084960938)","(0.6407973766326904, 0.5892903804779053, 0.41287681460380554)",1,"(0.8020283579826355, 0.2453044354915619)","(56.983253479003906, 91.74386596679688, 22.750240325927734)",1,4.449951171875,1,"(-8.983160018920898, -38.711334228515625, 627.7110595703125)","(0.5194064974784851, 0.5848553776741028, 0.402889221906662)",1,title
timestep_6,389384625,341700844820,"(0.9665828347206116, 0.07409121096134186)","(88.02951049804688, 110.71540832519531, 29.655315399169922)",1,4.4953460693359375,1,"(-64.76396179199219, -40.571311950683594, 628.0752563476562)","(0.6395326852798462, 0.5892518758773804, 0.41088032722473145)",1,"(1.0492947101593018, 0.04283105209469795)","(103.63465118408203, 114.17924499511719, 30.91604232788086)",1,4.470947265625,1,"(-8.29372787475586, -38.80690383911133, 627.18798828125)","(0.51793372631073, 0.5851046442985535, 0.401742160320282)",1,title
timestep_7,389901314,341701361462,"(0.9916539788246155, -0.04614119604229927)","(92.7596206665039, 124.0379409790039, 34.50435256958008)",1,4.5709381103515625,1,"(-64.43038940429688, -40.90522766113281, 627.1210327148438)","(0.6390529870986938, 0.5900643467903137, 0.40877991914749146)",1,"(1.0821692943572998, -0.042543020099401474)","(109.8370361328125, 123.63924407958984, 34.35921096801758)",1,4.550567626953125,1,"(-8.009398460388184, -39.21881866455078, 626.1438598632812)","(0.5173488259315491, 0.5860875844955444, 0.399507075548172)",1,title
timestep_8,390401340,341701861443,"(1.0117106437683105, -0.033191580325365067)","(96.54369354248047, 122.60304260253906, 33.98206329345703)",1,4.6912994384765625,1,"(-63.68321990966797, -40.367576599121094, 625.47802734375)","(0.6378558874130249, 0.5890690684318542, 0.40501177310943604)",1,"(1.10870361328125, -0.06004048511385918)","(114.84321594238281, 125.57806396484375, 35.06491470336914)",1,4.693695068359375,1,"(-7.202195167541504, -39.061317443847656, 624.9110107421875)","(0.5156362056732178, 0.5858615636825562, 0.396793395280838)",1,title
timestep_9,390918021,341702378076,"(1.0135186910629272, -0.03291147202253342)","(96.88481903076172, 122.57201385498047, 33.97074890136719)",1,4.721893310546875,1,"(-62.90849685668945, -39.918846130371094, 625.4573364257812)","(0.6361916065216064, 0.5880975723266602, 0.40475398302078247)",1,"(1.0887377262115479, -0.02383331209421158)","(111.07628631591797, 121.56608581542969, 33.604637145996094)",1,4.685791015625,1,"(-6.426667213439941, -38.914764404296875, 624.86572265625)","(0.513954758644104, 0.5855441689491272, 0.39666256308555603)",1,title
timestep_10,391418045,341702878053,"(1.028605580329895, -0.028839493170380592)","(99.73124694824219, 122.12080383300781, 33.806541442871094)",1,4.807586669921875,1,"(-62.11978530883789, -40.311546325683594, 625.779052734375)","(0.6344093680381775, 0.5889051556587219, 0.40532055497169495)",1,"(1.0941162109375, -0.06032930314540863)","(112.09102630615234, 125.61006927490234, 35.076560974121094)",1,4.7941131591796875,1,"(-5.600412845611572, -39.80427551269531, 625.4686279296875)","(0.5121421813964844, 0.587394118309021, 0.398042768239975)",1,title
timestep_11,391918067,341703378028,"(1.0199718475341797, -0.06889727711677551)","(98.10234069824219, 126.55947875976562, 35.422061920166016)",1,4.9815826416015625,1,"(-60.593963623046875, -39.89242172241211, 624.5330810546875)","(0.6314153671264648, 0.5881147980690002, 0.4022650718688965)",1,"(1.0951769351959229, 0.0026749710086733103)","(112.2911605834961, 118.6288070678711, 32.535526275634766)",1,4.8715667724609375,1,"(-4.11643648147583, -39.961265563964844, 624.9142456054688)","(0.5089317560195923, 0.5877755880355835, 0.39682987332344055)",1,title
timestep_12,392426427,341703886339,"(1.0005897283554077, -0.0381673239171505)","(94.44552612304688, 123.15438842773438, 34.182735443115234)",1,4.9407958984375,1,"(-59.5953369140625, -39.34877014160156, 624.6241455078125)","(0.6292372941970825, 0.586924135684967, 0.402202308177948)",1,"(1.092000126838684, -0.025536930188536644)","(111.69180297851562, 121.75485229492188, 33.67335510253906)",1,4.886505126953125,1,"(-3.0643539428710938, -39.644317626953125, 625.2970581054688)","(0.5066453218460083, 0.5870468616485596, 0.397616446018219)",1,title
