,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,547394801,534416085739,"(1.3419430255889893, 0.14985965192317963)","(158.84815979003906, 102.31977081298828, 26.599559783935547)",1,4.8378448486328125,1,"(-43.06528854370117, 6.715182304382324, 553.00390625)","(0.6076581478118896, 0.4827684760093689, 0.2431584894657135)",1,"(1.3865606784820557, 0.29608482122421265)","(167.26608276367188, 86.1170654296875, 20.70225715637207)",1,4.315887451171875,1,"(19.66767120361328, 10.36306381225586, 547.2803955078125)","(0.450690358877182, 0.47290343046188354, 0.22815963625907898)",1,cat
timestep_2,547944825,534416635737,"(-0.5180881023406982, 0.6301081776618958)","(-192.08119201660156, 49.10508728027344, 7.231039047241211)",1,4.815155029296875,1,"(-47.702816009521484, 5.820911407470703, 552.69580078125)","(0.6192601323127747, 0.4849534332752228, 0.24324725568294525)",1,"(-0.5715229511260986, 0.621541440486908)","(-202.1626739501953, 50.054359436035156, 7.576475620269775)",1,4.664459228515625,1,"(14.318541526794434, 9.232258796691895, 546.34375)","(0.46411558985710144, 0.47563788294792175, 0.2256792187690735)",1,cat
timestep_3,548394842,534417085770,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_4,548969872,534417660794,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_5,549478230,534418169167,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_6,549986445,534418677474,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_7,550486605,534419177522,"(-0.33696362376213074, 1.3152629137039185)","(-157.90872192382812, -26.814517974853516, -20.401466369628906)",1,4.4204254150390625,1,"(-46.024539947509766, 2.5137624740600586, 552.88232421875)","(0.6150205731391907, 0.4929867088794708, 0.24315862357616425)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_8,550994957,534419685899,"(1.5514161586761475, 1.1421008110046387)","(198.36915588378906, -7.6270270347595215, -13.417820930480957)",1,3.4536895751953125,1,"(-39.13368225097656, 3.4686365127563477, 552.2247924804688)","(0.5980148911476135, 0.49057537317276, 0.24064742028713226)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_9,551503316,534420194119,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_10,552003342,534420694177,"(-0.4911448359489441, 0.1055811196565628)","(-186.9978485107422, 107.22611236572266, 28.385353088378906)",1,4.6716461181640625,1,"(-46.18621063232422, 3.3285276889801025, 553.8008422851562)","(0.6152076721191406, 0.49106359481811523, 0.24521934986114502)",1,"(-0.5208178758621216, 0.1193808987736702)","(-192.59622192382812, 105.697021484375, 27.828754425048828)",1,4.41583251953125,1,"(16.101505279541016, 6.251059055328369, 548.03759765625)","(0.45972487330436707, 0.48307961225509644, 0.22925056517124176)",1,cat
timestep_11,552511698,534421202625,"(0.6544816493988037, -1.1077492237091064)","(29.14581871032715, 241.67105102539062, 77.31926727294922)",1,5.022064208984375,1,"(-41.96076965332031, 5.001245975494385, 552.8412475585938)","(0.6049354672431946, 0.4869111478328705, 0.24251550436019897)",1,"(0.7620702385902405, -1.038429856300354)","(49.44440841674805, 233.99000549316406, 74.5235595703125)",1,4.62518310546875,1,"(21.41181182861328, 7.947171211242676, 547.2476806640625)","(0.44626322388648987, 0.4788168668746948, 0.22804246842861176)",1,cat
timestep_12,553028388,534421719257,"(1.3161450624465942, 0.00571599742397666)","(153.9809112548828, 118.29183959960938, 32.41289138793945)",1,4.9187469482421875,1,"(-38.794822692871094, 4.116599082946777, 553.72607421875)","(0.596871554851532, 0.4890919327735901, 0.2438870668411255)",1,"(1.3004474639892578, 0.09406045079231262)","(151.0192413330078, 108.502685546875, 28.84995460510254)",1,4.3835601806640625,1,"(23.954833984375, 6.70915412902832, 547.6806640625)","(0.4398879408836365, 0.48186931014060974, 0.22912172973155975)",1,cat
