,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,977956615,520576768939,"(0.7876507639884949, 0.0030505128670483828)","(54.27063751220703, 118.5871810913086, 32.52039337158203)",1,3.90716552734375,1,"(-14.419445037841797, -2.431776523590088, 639.3230590820312)","(0.5307302474975586, 0.5074051022529602, 0.42709749937057495)",1,"(0.45131051540374756, 0.03603844344615936)","(-9.186172485351562, 114.9319076538086, 31.189985275268555)",1,3.6654510498046875,1,"(46.14021682739258, -4.191587448120117, 631.587646484375)","(0.40134385228157043, 0.51054847240448, 0.41350895166397095)",1,cat
timestep_2,978456633,520577268895,"(0.7941198348999023, 0.029128964990377426)","(55.49116134643555, 115.6975326538086, 31.468629837036133)",1,4.0963134765625,1,"(-14.524250030517578, -2.1957154273986816, 639.31787109375)","(0.530953586101532, 0.5069085359573364, 0.427097886800766)",1,"(0.4568060636520386, 0.08935932070016861)","(-8.149343490600586, 109.02360534667969, 29.039539337158203)",1,3.9330291748046875,1,"(46.0914306640625, -4.076186180114746, 631.4494018554688)","(0.401424765586853, 0.510299801826477, 0.41320401430130005)",1,cat
timestep_3,978973322,520577785508,"(0.8531140089035034, 0.7908445000648499)","(66.62149810791016, 31.294469833374023, 0.7484385967254639)",1,4.364532470703125,1,"(-14.157514572143555, -3.532245397567749, 638.2196655273438)","(0.5302284955978394, 0.5096953511238098, 0.42465901374816895)",1,"(0.4823753833770752, 0.8752466440200806)","(-3.325211524963379, 21.94215965270996, -2.6555113792419434)",1,4.2561187744140625,1,"(46.33567810058594, -5.547893524169922, 630.24169921875)","(0.4006754755973816, 0.5134138464927673, 0.4105952978134155)",1,cat
timestep_4,979490013,520578302507,"(0.8423702716827393, 0.805956244468689)","(64.59449768066406, 29.619991302490234, 0.13901512324810028)",1,4.4342498779296875,1,"(-14.439048767089844, -3.344898223876953, 638.5105590820312)","(0.5308101773262024, 0.5093088150024414, 0.42530930042266846)",1,"(0.4882880449295044, 0.8778282999992371)","(-2.2096776962280273, 21.656097412109375, -2.759631633758545)",1,4.2590789794921875,1,"(46.03028869628906, -5.433300495147705, 630.5497436523438)","(0.40138620138168335, 0.5131766200065613, 0.41121721267700195)",1,cat
timestep_5,979490013,520578302507,"(0.8423702716827393, 0.805956244468689)","(64.59449768066406, 29.619991302490234, 0.13901512324810028)",1,4.4342498779296875,1,"(-14.439048767089844, -3.344898223876953, 638.5105590820312)","(0.5308101773262024, 0.5093088150024414, 0.42530930042266846)",1,"(0.4882880449295044, 0.8778282999992371)","(-2.2096776962280273, 21.656097412109375, -2.759631633758545)",1,4.2590789794921875,1,"(46.03028869628906, -5.433300495147705, 630.5497436523438)","(0.40138620138168335, 0.5131766200065613, 0.41121721267700195)",1,cat
timestep_6,980490056,520579302331,"(0.797327995300293, 0.06554330885410309)","(56.096435546875, 111.66256713867188, 30.000070571899414)",1,4.429046630859375,1,"(-13.804945945739746, -2.2037768363952637, 638.3245239257812)","(0.5294843316078186, 0.5068937540054321, 0.42490458488464355)",1,"(0.46128618717193604, 0.09370005875825882)","(-7.304079532623291, 108.54263305664062, 28.86446189880371)",1,4.056549072265625,1,"(46.70759582519531, -4.705825328826904, 630.3439331054688)","(0.3999022841453552, 0.5116153359413147, 0.4108913242816925)",1,cat
timestep_7,981006749,520579818963,"(0.80329430103302, 0.30710431933403015)","(57.22209930419922, 84.89602661132812, 20.257841110229492)",1,4.4031982421875,1,"(-13.990760803222656, -2.622145652770996, 637.9336547851562)","(0.5298958420753479, 0.5077671408653259, 0.42405250668525696)",1,"(0.44578787684440613, 0.4062645435333252)","(-10.228119850158691, 73.908447265625, 16.25864601135254)",1,4.123931884765625,1,"(46.52185821533203, -5.146834373474121, 629.628662109375)","(0.4001690745353699, 0.5125446915626526, 0.409302681684494)",1,cat
timestep_8,981506771,520580319029,"(0.8391075134277344, 0.7736624479293823)","(63.978919982910156, 33.19834518432617, 1.4414070844650269)",1,4.5363311767578125,1,"(-13.823507308959961, -3.3038439750671387, 637.1549072265625)","(0.5295778512954712, 0.5091860890388489, 0.422334760427475)",1,"(0.5026056170463562, 0.8640978932380676)","(0.4916035830974579, 23.177507400512695, -2.205876111984253)",1,4.31884765625,1,"(46.608131408691406, -5.985947608947754, 629.1544189453125)","(0.3998918831348419, 0.5143299698829651, 0.40827396512031555)",1,cat
timestep_9,982023462,520580835852,"(0.8435534834861755, 0.8017527461051941)","(64.8177261352539, 30.08576011657715, 0.30851858854293823)",1,4.6748199462890625,1,"(-13.463608741760254, -3.3251841068267822, 637.036865234375)","(0.5288199782371521, 0.5092259645462036, 0.42206114530563354)",1,"(0.5158740282058716, 0.8481252193450928)","(2.9949309825897217, 24.947397232055664, -1.5617082118988037)",1,4.403167724609375,1,"(47.0035514831543, -6.1382975578308105, 628.8570556640625)","(0.3989865481853485, 0.5146485567092896, 0.40769001841545105)",1,cat
timestep_10,982523475,520581335777,"(0.7808250784873962, 0.07098037004470825)","(52.98285675048828, 111.06010437011719, 29.780792236328125)",1,4.67578125,1,"(-13.840072631835938, -2.299941062927246, 637.4678955078125)","(0.5296028256416321, 0.5070736408233643, 0.423041969537735)",1,"(0.49673962593078613, 0.07371391355991364)","(-0.6151283979415894, 110.75721740722656, 29.6705265045166)",1,4.3414306640625,1,"(46.65636444091797, -5.136424541473389, 629.168212890625)","(0.3997972011566162, 0.5125128030776978, 0.40832599997520447)",1,cat
