,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1631727423,586680341099,"(0.5937373638153076, 0.541008710861206)","(17.68529510498047, 58.977909088134766, 10.824385643005371)",1,3.909820556640625,1,"(-20.74861717224121, -31.33407974243164, 668.7084350585938)","(0.5417757034301758, 0.5664249062538147, 0.491905152797699)",1,"(0.5583252906799316, 0.6055054664611816)","(11.004156112670898, 51.831241607666016, 8.223210334777832)",1,3.865753173828125,1,"(39.14007568359375, -30.722644805908203, 669.3282470703125)","(0.4214541018009186, 0.5647463798522949, 0.49497878551483154)",1,cat
timestep_2,1632244111,586680857735,"(0.5596345067024231, 0.6276833415031433)","(11.251161575317383, 49.373783111572266, 7.328802585601807)",1,4.0966796875,1,"(-22.10098648071289, -33.19596862792969, 667.7392578125)","(0.5445553660392761, 0.5702521204948425, 0.490023672580719)",1,"(0.5367247462272644, 0.6758267879486084)","(6.928814888000488, 44.03916549682617, 5.387165546417236)",1,4.0726165771484375,1,"(37.77116012573242, -32.4168815612793, 668.6026000976562)","(0.4240972399711609, 0.568209707736969, 0.49334993958473206)",1,cat
timestep_3,1632760804,586681374444,"(0.5721324682235718, 0.6328853964805603)","(13.60911750793457, 48.797359466552734, 7.119018077850342)",1,4.073699951171875,1,"(-21.609323501586914, -32.1512451171875, 666.1476440429688)","(0.543688178062439, 0.5682427287101746, 0.48645830154418945)",1,"(0.5418349504470825, 0.6648171544075012)","(7.892938137054443, 45.259124755859375, 5.831164360046387)",1,4.070587158203125,1,"(38.27519989013672, -31.61853790283203, 667.15869140625)","(0.42290252447128296, 0.566688597202301, 0.490224152803421)",1,cat
timestep_4,1633260826,586681874472,"(0.6322964429855347, 0.6091241836547852)","(24.960174560546875, 51.43026351928711, 8.077306747436523)",1,4.0453338623046875,1,"(-20.07137680053711, -31.539363861083984, 666.337158203125)","(0.5405743718147278, 0.5669822692871094, 0.48672446608543396)",1,"(0.5917157530784607, 0.6630370020866394)","(17.303884506225586, 45.45635986328125, 5.902987003326416)",1,4.03875732421875,1,"(39.83184814453125, -31.316852569580078, 667.5478515625)","(0.41982173919677734, 0.5660454630851746, 0.4912435710430145)",1,cat
timestep_5,1633777517,586682391158,"(0.6245980858802795, 0.6297659873962402)","(23.507736206054688, 49.14301681518555, 7.244793891906738)",1,4.2005615234375,1,"(-19.996685028076172, -32.46855926513672, 666.0721435546875)","(0.5404363870620728, 0.5688784122467041, 0.48620831966400146)",1,"(0.5922834873199463, 0.6690011024475098)","(17.410993576049805, 44.795501708984375, 5.66241979598999)",1,4.2075653076171875,1,"(39.90150833129883, -32.24254608154297, 667.0337524414062)","(0.4196053743362427, 0.5679444074630737, 0.49020054936408997)",1,cat
timestep_6,1634277539,586682891130,"(0.5991474390029907, 0.7256603240966797)","(18.70600128173828, 38.51730728149414, 3.3773105144500732)",1,4.1461944580078125,1,"(-21.214555740356445, -33.336021423339844, 666.9136962890625)","(0.5428294539451599, 0.5705847144126892, 0.48817935585975647)",1,"(0.5596574544906616, 0.7768427133560181)","(11.255480766296387, 32.8459587097168, 1.3131543397903442)",1,4.1982421875,1,"(38.646141052246094, -32.96992874145508, 668.0225830078125)","(0.42225924134254456, 0.5693554282188416, 0.49223846197128296)",1,cat
timestep_7,1634277539,586682891130,"(0.5991474390029907, 0.7256603240966797)","(18.70600128173828, 38.51730728149414, 3.3773105144500732)",1,4.1461944580078125,1,"(-21.214555740356445, -33.336021423339844, 666.9136962890625)","(0.5428294539451599, 0.5705847144126892, 0.48817935585975647)",1,"(0.5596574544906616, 0.7768427133560181)","(11.255480766296387, 32.8459587097168, 1.3131543397903442)",1,4.1982421875,1,"(38.646141052246094, -32.96992874145508, 668.0225830078125)","(0.42225924134254456, 0.5693554282188416, 0.49223846197128296)",1,cat
timestep_8,1635310928,586683924529,"(0.5271461606025696, 0.9638922214508057)","(5.121618270874023, 12.11965560913086, -6.230629920959473)",1,4.2906951904296875,1,"(-24.641340255737305, -35.99641418457031, 668.4763793945312)","(0.549591600894928, 0.5758668184280396, 0.4920317232608795)",1,"(0.4966003894805908, 0.9997267127037048)","(-0.6414002180099487, 8.148954391479492, -7.6758222579956055)",1,4.3130950927734375,1,"(35.20771026611328, -34.48089599609375, 668.1983642578125)","(0.42918670177459717, 0.5724114179611206, 0.49232444167137146)",1,cat
timestep_9,1635810938,586684424611,"(0.6136977076530457, 0.9907631278038025)","(21.451171875, 9.14218521118164, -7.314342975616455)",1,4.0843505859375,1,"(-21.61312484741211, -37.17607116699219, 668.6163330078125)","(0.5434868335723877, 0.5782127380371094, 0.49220913648605347)",1,"(0.5750681161880493, 0.9743762016296387)","(14.162996292114258, 10.957950592041016, -6.653419494628906)",1,4.1505279541015625,1,"(38.28752899169922, -36.761749267578125, 669.7081298828125)","(0.4231724143028259, 0.576867938041687, 0.49614617228507996)",1,cat
timestep_10,1636319294,586684932894,"(0.6140713691711426, 0.951917827129364)","(21.521678924560547, 13.446497917175293, -5.747701644897461)",1,4.0264434814453125,1,"(-22.069942474365234, -37.37994384765625, 669.7120361328125)","(0.5443226099014282, 0.5785397291183472, 0.494637668132782)",1,"(0.5836623907089233, 0.9768184423446655)","(15.784460067749023, 10.687349319458008, -6.751949787139893)",1,4.0774688720703125,1,"(37.87049865722656, -37.27679443359375, 670.8158569335938)","(0.42412644624710083, 0.5778192281723022, 0.49854138493537903)",1,cat
