,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1251393795,586300009912,"(0.7770590782165527, 0.5302660465240479)","(52.2723388671875, 60.16826248168945, 11.257655143737793)",1,3.9680633544921875,1,"(-32.60731887817383, -14.830509185791016, 664.8501586914062)","(0.5661173462867737, 0.5332939624786377, 0.4838796854019165)",1,"(0.742099404335022, 0.5308240056037903)","(45.676536560058594, 60.10643005371094, 11.235175132751465)",1,4.0163116455078125,1,"(27.087200164794922, -17.86370849609375, 667.404296875)","(0.44556093215942383, 0.5389994382858276, 0.48895156383514404)",1,cat
timestep_2,1251893811,586300509806,"(-0.025754651054739952, 0.22233116626739502)","(-99.19337463378906, 94.28945922851562, 23.676746368408203)",1,4.1408538818359375,1,"(-34.54977798461914, -15.024839401245117, 667.712646484375)","(0.5697054266929626, 0.5336617827415466, 0.4903077483177185)",1,"(-0.012542182579636574, 0.2494274377822876)","(-96.7005844116211, 91.28702545166016, 22.583913803100586)",1,4.1922454833984375,1,"(25.172290802001953, -18.071969985961914, 669.7886962890625)","(0.44961994886398315, 0.5393798351287842, 0.493974894285202)",1,cat
timestep_3,1252410503,586301026536,"(0.3505152463912964, 0.3328867554664612)","(-28.20307159423828, 82.0391616821289, 19.21804428100586)",1,4.1770782470703125,1,"(-34.94734573364258, -14.583173751831055, 667.235595703125)","(0.570563793182373, 0.532778799533844, 0.48931050300598145)",1,"(0.3532131016254425, 0.31423211097717285)","(-27.69407081604004, 84.10623168945312, 19.970367431640625)",1,4.241455078125,1,"(24.73162269592285, -17.50441551208496, 669.5587158203125)","(0.45048874616622925, 0.5382461547851562, 0.4934269189834595)",1,cat
timestep_4,1252410503,586301026536,"(0.3505152463912964, 0.3328867554664612)","(-28.20307159423828, 82.0391616821289, 19.21804428100586)",1,4.1770782470703125,1,"(-34.94734573364258, -14.583173751831055, 667.235595703125)","(0.570563793182373, 0.532778799533844, 0.48931050300598145)",1,"(0.3532131016254425, 0.31423211097717285)","(-27.69407081604004, 84.10623168945312, 19.970367431640625)",1,4.241455078125,1,"(24.73162269592285, -17.50441551208496, 669.5587158203125)","(0.45048874616622925, 0.5382461547851562, 0.4934269189834595)",1,cat
timestep_5,1253443880,586302059918,"(-0.8714488744735718, -0.08900610357522964)","(-258.749267578125, 128.78765869140625, 36.23308563232422)",1,4.1190338134765625,1,"(-40.36039352416992, -15.948020935058594, 674.9296264648438)","(0.5806002616882324, 0.5354464650154114, 0.5066834688186646)",1,"(-0.7561564445495605, -0.10524147748947144)","(-236.99722290039062, 130.58663940429688, 36.887855529785156)",1,4.45941162109375,1,"(19.314624786376953, -18.224193572998047, 675.62841796875)","(0.46167701482772827, 0.5395944118499756, 0.5062494874000549)",1,cat
timestep_6,1253943906,586302559901,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-1.0184719562530518, -0.09503379464149475)","(-286.4878845214844, 129.45558166503906, 36.47612380981445)",1,4.430206298828125,1,"(19.85418701171875, -19.83327865600586, 676.7313232421875)","(0.4606475532054901, 0.5427696108818054, 0.5087228417396545)",1,cat
timestep_7,1254460594,586303076557,"(-1.1236741542816162, 0.015319067984819412)","(-306.3362121582031, 117.2277603149414, 32.025577545166016)",1,4.1370391845703125,1,"(-37.828941345214844, -17.429882049560547, 676.5547485351562)","(0.5753879547119141, 0.5383567810058594, 0.5099247097969055)",1,"(-1.0297735929489136, -0.10676711797714233)","(-288.6201477050781, 130.7556915283203, 36.949371337890625)",1,4.587432861328125,1,"(22.151803970336914, -20.59770393371582, 687.3734130859375)","(0.45665213465690613, 0.5439755320549011, 0.5320203900337219)",1,cat
timestep_8,1254460594,586303076557,"(-1.1236741542816162, 0.015319067984819412)","(-306.3362121582031, 117.2277603149414, 32.025577545166016)",1,4.1370391845703125,1,"(-37.828941345214844, -17.429882049560547, 676.5547485351562)","(0.5753879547119141, 0.5383567810058594, 0.5099247097969055)",1,"(-1.0297735929489136, -0.10676711797714233)","(-288.6201477050781, 130.7556915283203, 36.949371337890625)",1,4.587432861328125,1,"(22.151803970336914, -20.59770393371582, 687.3734130859375)","(0.45665213465690613, 0.5439755320549011, 0.5320203900337219)",1,cat
timestep_9,1255468975,586304084930,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_10,1255994001,586304609993,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_11,1256510688,586305126671,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_12,1257027379,586305643332,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
