,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1523139245,586571753594,"(0.6066928505897522, 0.5139732360839844)","(20.129573822021484, 61.973609924316406, 11.914752960205078)",1,4.010498046875,1,"(-14.530462265014648, -26.627275466918945, 669.01416015625)","(0.5292891263961792, 0.5568828582763672, 0.49193790555000305)",1,"(0.5749917030334473, 0.5090369582176208)","(14.148566246032715, 62.52058029174805, 12.11385440826416)",1,4.0120391845703125,1,"(45.28997802734375, -26.789804458618164, 668.9021606445312)","(0.4090709090232849, 0.5568158626556396, 0.494657963514328)",1,cat
timestep_2,1523655936,586572270263,"(0.4875887632369995, 0.5765010118484497)","(-2.341611385345459, 55.04513168334961, 9.392952919006348)",1,4.034576416015625,1,"(-14.434133529663086, -25.816638946533203, 666.34423828125)","(0.5292306542396545, 0.5553708076477051, 0.48609113693237305)",1,"(0.4708365201950073, 0.5818593502044678)","(-5.5022358894348145, 54.45138168334961, 9.176888465881348)",1,4.120269775390625,1,"(45.36491012573242, -25.940446853637695, 666.780517578125)","(0.40860649943351746, 0.5552018284797668, 0.49002498388290405)",1,cat
timestep_3,1524155959,586572770152,"(0.488043874502182, 0.566842794418335)","(-2.255748748779297, 56.11532211303711, 9.782505989074707)",1,4.0140380859375,1,"(-15.099650382995605, -25.374357223510742, 665.6370849609375)","(0.5306126475334167, 0.5545122623443604, 0.48456501960754395)",1,"(0.4800366163253784, 0.5855926275253296)","(-3.7664594650268555, 54.0377082824707, 9.026339530944824)",1,4.08941650390625,1,"(44.71492004394531, -25.51382064819336, 666.5206909179688)","(0.4098794758319855, 0.5543563961982727, 0.489346444606781)",1,cat
timestep_4,1524672647,586573286925,"(0.3643474578857422, 0.6801134347915649)","(-25.59337043762207, 43.56420135498047, 5.214245796203613)",1,3.9460296630859375,1,"(-15.80595588684082, -26.1463680267334, 665.687255859375)","(0.5320326089859009, 0.5560773611068726, 0.48474717140197754)",1,"(0.3517823815345764, 0.7072027325630188)","(-27.96400260925293, 40.56251907348633, 4.121760845184326)",1,4.1020050048828125,1,"(44.01144027709961, -26.185924530029297, 666.7503051757812)","(0.4113270044326782, 0.5557078123092651, 0.48977699875831604)",1,cat
timestep_5,1525189334,586573803619,"(0.112123042345047, 0.9149476289749146)","(-73.18018341064453, 17.543018341064453, -4.25663423538208)",1,4.2216339111328125,1,"(-17.971111297607422, -27.164730072021484, 665.1396484375)","(0.536434531211853, 0.558180570602417, 0.4837285578250885)",1,"(0.09215287119150162, 0.9649660587310791)","(-76.94792175292969, 12.000654220581055, -6.273898601531982)",1,4.259735107421875,1,"(41.7801399230957, -26.706632614135742, 666.0332641601562)","(0.41571754217147827, 0.5568080544471741, 0.48794025182724)",1,cat
timestep_6,1525689356,586574303547,"(0.10790896415710449, 0.9468138813972473)","(-73.97525024414062, 14.012048721313477, -5.541840553283691)",1,3.9881439208984375,1,"(-19.19403839111328, -26.797101974487305, 666.8564453125)","(0.5387972593307495, 0.5573606491088867, 0.48751208186149597)",1,"(0.04019799828529358, 0.9934679269790649)","(-86.75017547607422, 8.8424654006958, -7.423384189605713)",1,3.950592041015625,1,"(40.56510925292969, -26.217185974121094, 666.7731323242188)","(0.41827473044395447, 0.5557927489280701, 0.48935893177986145)",1,cat
timestep_7,1525689356,586574303547,"(0.10790896415710449, 0.9468138813972473)","(-73.97525024414062, 14.012048721313477, -5.541840553283691)",1,3.9881439208984375,1,"(-19.19403839111328, -26.797101974487305, 666.8564453125)","(0.5387972593307495, 0.5573606491088867, 0.48751208186149597)",1,"(0.04019799828529358, 0.9934679269790649)","(-86.75017547607422, 8.8424654006958, -7.423384189605713)",1,3.950592041015625,1,"(40.56510925292969, -26.217185974121094, 666.7731323242188)","(0.41827473044395447, 0.5557927489280701, 0.48935893177986145)",1,cat
timestep_8,1526689403,586575303693,"(0.1329660415649414, 1.0004703998565674)","(-69.24775695800781, 8.06654167175293, -7.705788612365723)",1,3.7611846923828125,1,"(-20.827613830566406, -28.000810623168945, 667.6627807617188)","(0.5420268177986145, 0.5597620606422424, 0.48943427205085754)",1,"(0.07389313727617264, 0.9731034636497498)","(-80.3929672241211, 11.098982810974121, -6.602097988128662)",1,3.874847412109375,1,"(39.018775939941406, -27.184551239013672, 667.7603759765625)","(0.42151525616645813, 0.5577077269554138, 0.49135303497314453)",1,cat
timestep_9,1527206094,586575820433,"(0.14049258828163147, 0.9865552186965942)","(-67.82774353027344, 9.608419418334961, -7.144543170928955)",1,3.8416748046875,1,"(-20.947633743286133, -29.201854705810547, 667.7667236328125)","(0.5422543287277222, 0.562181293964386, 0.48973798751831055)",1,"(0.10026930272579193, 0.9712265133857727)","(-75.4166030883789, 11.30697250366211, -6.526419639587402)",1,3.9406890869140625,1,"(38.93155288696289, -28.349454879760742, 667.338134765625)","(0.42162686586380005, 0.5600788593292236, 0.49049046635627747)",1,cat
timestep_10,1527706115,586576320395,"(0.16087029874324799, 0.9812197685241699)","(-63.98310852050781, 10.19963550567627, -6.929410934448242)",1,3.8260040283203125,1,"(-21.462308883666992, -29.688417434692383, 667.2261962890625)","(0.543326735496521, 0.563197672367096, 0.4886287450790405)",1,"(0.10055195540189743, 0.961384117603302)","(-75.36328125, 12.397564888000488, -6.129453182220459)",1,3.9063262939453125,1,"(38.432044982910156, -28.73528289794922, 666.9022216796875)","(0.4225730895996094, 0.5608838796615601, 0.489504873752594)",1,cat
timestep_11,1528222804,586576837132,"(0.14551952481269836, 0.9869943261146545)","(-66.87931823730469, 9.55980396270752, -7.162356376647949)",1,3.7873992919921875,1,"(-21.354679107666016, -27.860788345336914, 667.3184814453125)","(0.543113648891449, 0.5595008134841919, 0.48871445655822754)",1,"(0.10746986418962479, 0.959030032157898)","(-74.05809783935547, 12.65842056274414, -6.0345282554626465)",1,3.919219970703125,1,"(38.52555847167969, -26.945188522338867, 666.6416015625)","(0.4223629832267761, 0.5572825074195862, 0.488851398229599)",1,cat
timestep_12,1528739495,586577353803,"(0.17075277864933014, 0.9860823154449463)","(-62.118595123291016, 9.660828590393066, -7.125526428222656)",1,3.7681884765625,1,"(-22.54305648803711, -30.34090805053711, 667.5445556640625)","(0.5454760789871216, 0.5645042061805725, 0.48943760991096497)",1,"(0.10408047586679459, 0.9664188027381897)","(-74.69756317138672, 11.839700698852539, -6.332510471343994)",1,3.898895263671875,1,"(37.354835510253906, -29.474916458129883, 667.282470703125)","(0.42478710412979126, 0.5623628497123718, 0.49024271965026855)",1,cat
