,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,1683171390,586731784670,"(0.5875046849250793, 0.5423202514648438)","(16.509384155273438, 58.83258056640625, 10.771504402160645)",1,4.1837921142578125,1,"(-29.838180541992188, -26.012786865234375, 649.9160766601562)","(0.5620203614234924, 0.5566515922546387, 0.4515330493450165)",1,"(0.5551528334617615, 0.6126286387443542)","(10.405599594116211, 51.04195022583008, 7.935939311981201)",1,4.12213134765625,1,"(29.99378204345703, -26.276844024658203, 651.4122924804688)","(0.43797531723976135, 0.5567135810852051, 0.4548105001449585)",1,cat
timestep_2,1683671412,586732284780,"(0.6387884020805359, 0.6275414228439331)","(26.18500518798828, 49.38951873779297, 7.334510326385498)",1,4.316925048828125,1,"(-31.164264678955078, -27.88452911376953, 650.9507446289062)","(0.5646442770957947, 0.5604846477508545, 0.45401424169540405)",1,"(0.619615912437439, 0.6829244494438171)","(22.567760467529297, 43.25271224975586, 5.100898265838623)",1,4.230316162109375,1,"(28.680400848388672, -28.03055191040039, 652.5155029296875)","(0.4407952129840851, 0.5602864623069763, 0.45717453956604004)",1,cat
timestep_3,1684188097,586732801404,"(1.0062179565429688, 0.5456286668777466)","(95.50739288330078, 58.465972900390625, 10.638113975524902)",1,4.356048583984375,1,"(-30.61334991455078, -28.08474349975586, 652.0767822265625)","(0.5633794665336609, 0.5608333945274353, 0.45641398429870605)",1,"(0.9638408422470093, 0.586715817451477)","(87.51216888427734, 53.91324234008789, 8.981048583984375)",1,4.267181396484375,1,"(29.23910903930664, -28.203855514526367, 653.9232788085938)","(0.4397863745689392, 0.5605636239051819, 0.460294246673584)",1,cat
timestep_4,1684704787,586733318124,"(1.0400006771087646, 0.5768318176269531)","(101.88114166259766, 55.00847244262695, 9.379634857177734)",1,4.37200927734375,1,"(-28.361675262451172, -27.940519332885742, 652.5364990234375)","(0.5586811304092407, 0.5604946613311768, 0.4571850299835205)",1,"(1.001140832901001, 0.6202465295791626)","(94.54951477050781, 50.19783401489258, 7.628698825836182)",1,4.373443603515625,1,"(31.442346572875977, -28.401473999023438, 654.9993286132812)","(0.43536412715911865, 0.5608962774276733, 0.462861031293869)",1,cat
timestep_5,1685221475,586733834790,"(1.0210661888122559, 0.5950492024421692)","(98.30879974365234, 52.98986053466797, 8.644949913024902)",1,4.3775177001953125,1,"(-27.566162109375, -29.346511840820312, 653.3416137695312)","(0.556951642036438, 0.5633451342582703, 0.458943635225296)",1,"(0.9898238182067871, 0.6359724402427673)","(92.41433715820312, 48.45530319213867, 6.994483947753906)",1,4.3388214111328125,1,"(32.25433349609375, -29.99337387084961, 656.0579223632812)","(0.43380340933799744, 0.5640988349914551, 0.465340793132782)",1,cat
timestep_6,1685721508,586734334748,"(1.0398892164230347, 0.5728954076766968)","(101.860107421875, 55.444644927978516, 9.538411140441895)",1,4.4074859619140625,1,"(-26.740436553955078, -28.458778381347656, 652.927978515625)","(0.5552931427955627, 0.561531662940979, 0.457918256521225)",1,"(1.0043277740478516, 0.6049783229827881)","(95.15079498291016, 51.8896484375, 8.244492530822754)",1,4.343841552734375,1,"(32.97232437133789, -29.42682647705078, 656.0117797851562)","(0.4323277473449707, 0.5629342794418335, 0.46528175473213196)",1,cat
timestep_7,1686238188,586734851459,"(1.030537486076355, 0.5817365050315857)","(100.09571075439453, 54.46498489379883, 9.181870460510254)",1,4.4471588134765625,1,"(-26.819355010986328, -28.97203254699707, 651.6240234375)","(0.5555777549743652, 0.5626664161682129, 0.45512455701828003)",1,"(0.9889565706253052, 0.5926627516746521)","(92.25072479248047, 53.25429153442383, 8.741199493408203)",1,4.4595794677734375,1,"(32.92231369018555, -29.88127326965332, 654.6365966796875)","(0.4322670102119446, 0.5639483332633972, 0.4623202085494995)",1,cat
timestep_8,1686746547,586735359885,"(1.0014352798461914, 0.6100147366523743)","(94.60504913330078, 51.33159255981445, 8.041346549987793)",1,4.6071929931640625,1,"(-29.136646270751953, -30.88864517211914, 654.6119384765625)","(0.5600501298904419, 0.5664564371109009, 0.46194684505462646)",1,"(0.960917592048645, 0.6055406928062439)","(86.96065521240234, 51.82732391357422, 8.221842765808105)",1,4.5618133544921875,1,"(30.68524169921875, -31.7116756439209, 657.735595703125)","(0.4371948540210724, 0.5675266981124878, 0.46893468499183655)",1,cat
timestep_9,1687246577,586735859945,"(0.7798438668251038, 0.48781952261924744)","(52.7977180480957, 64.87159729003906, 12.969555854797363)",1,4.4853057861328125,1,"(-28.433181762695312, -29.67599868774414, 654.9132690429688)","(0.5585793256759644, 0.5639373064041138, 0.462456077337265)",1,"(0.7420730590820312, 0.44738203287124634)","(45.671566009521484, 69.35234832763672, 14.60039234161377)",1,4.4910125732421875,1,"(31.344900131225586, -30.84949493408203, 658.3353881835938)","(0.435916006565094, 0.5657206773757935, 0.47024497389793396)",1,cat
timestep_10,1687746602,586736359892,"(1.0328315496444702, 0.6712387204170227)","(100.528564453125, 44.547569274902344, 5.57219934463501)",1,4.3970794677734375,1,"(-26.28900718688965, -30.857545852661133, 654.7572021484375)","(0.5541774034500122, 0.5663630962371826, 0.462001234292984)",1,"(1.000839352607727, 0.6917811632156372)","(94.49264526367188, 42.271331787109375, 4.743699550628662)",1,4.3631591796875,1,"(33.46490478515625, -32.35200881958008, 658.6044921875)","(0.4316008687019348, 0.5687600374221802, 0.4711562395095825)",1,cat
