,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,678405551,650235573,"(-0.029499303549528122, 0.8999373316764832)","(-99.89986419677734, 19.206275939941406, -3.6513137817382812)",1,5.1708984375,1,"(-46.88918685913086, 0.8336156010627747, 642.6198120117188)","(0.5987450480461121, 0.5008620619773865, 0.4376945197582245)",1,"(0.1938713788986206, 0.894564151763916)","(-57.7568473815918, 19.801637649536133, -3.4345386028289795)",1,4.805328369140625,1,"(14.905889511108398, 1.9289625883102417, 638.08251953125)","(0.4686771333217621, 0.4979807436466217, 0.424576997756958)",1,cat
timestep_2,678905565,650735445,"(0.33398503065109253, 0.7452855110168457)","(-31.321800231933594, 36.342716217041016, 2.5858302116394043)",1,5.290191650390625,1,"(-44.232460021972656, 1.3174388408660889, 640.2657470703125)","(0.5935623049736023, 0.49974143505096436, 0.43220439553260803)",1,"(0.4942884147167206, 0.7449166774749756)","(-1.0775988101959229, 36.3835563659668, 2.6007540225982666)",1,4.8751373291015625,1,"(17.70787811279297, 2.057826042175293, 637.5951538085938)","(0.4627077281475067, 0.4976702928543091, 0.42367738485336304)",1,cat
timestep_3,679405588,651235410,"(0.9645389318466187, -0.22785551846027374)","(87.64387512207031, 144.17308044433594, 41.832908630371094)",1,5.2285919189453125,1,"(-42.42160415649414, 3.365177631378174, 643.2335205078125)","(0.5892935395240784, 0.49555703997612, 0.43846648931503296)",1,"(1.159427523612976, -0.08541447669267654)","(124.4132080078125, 128.3896942138672, 36.08820724487305)",1,4.6672210693359375,1,"(19.266494750976562, 4.0598649978637695, 642.6166381835938)","(0.4597752094268799, 0.4936731159687042, 0.43477505445480347)",1,cat
timestep_4,679922277,651751976,"(-0.11227431893348694, -0.1229674443602562)","(-115.51690673828125, 132.5508270263672, 37.60267639160156)",1,4.929046630859375,1,"(-43.54205322265625, 4.759552955627441, 646.5474853515625)","(0.5911203026771545, 0.4928075969219208, 0.44588130712509155)",1,"(0.11554919183254242, -0.15300191938877106)","(-72.53377532958984, 135.87881469726562, 38.81403732299805)",1,4.542144775390625,1,"(18.22414207458496, 5.257149696350098, 638.6669311523438)","(0.46170774102211, 0.490967720746994, 0.42619019746780396)",1,cat
timestep_5,680430635,652260354,"(0.9707728624343872, 0.9157516956329346)","(88.82001495361328, 17.45394515991211, -4.289096832275391)",1,4.991058349609375,1,"(-40.050296783447266, 3.280984401702881, 641.8623657226562)","(0.5845266580581665, 0.4956570267677307, 0.4351619482040405)",1,"(1.1904999017715454, 0.9801555871963501)","(130.27560424804688, 10.317569732666016, -6.886529922485352)",1,4.5170135498046875,1,"(21.547271728515625, 3.617650032043457, 642.3564453125)","(0.45495718717575073, 0.49457281827926636, 0.43434420228004456)",1,cat
timestep_6,680930661,652760430,"(0.9589181542396545, -0.18000046908855438)","(86.58341217041016, 138.87042236328125, 39.90291976928711)",1,5.1768798828125,1,"(-38.954620361328125, 4.57696533203125, 640.5551147460938)","(0.5824207663536072, 0.49286824464797974, 0.4322439432144165)",1,"(1.1636866331100464, -0.08411334455013275)","(125.21678161621094, 128.24551391601562, 36.03572463989258)",1,4.57489013671875,1,"(22.617586135864258, 4.804117202758789, 642.3087158203125)","(0.45271065831184387, 0.4920766353607178, 0.43437817692756653)",1,cat
timestep_7,681414010,653243784,"(0.38768506050109863, -0.23623739182949066)","(-21.190296173095703, 145.10183715820312, 42.17097473144531)",1,5.0132598876953125,1,"(-40.72877502441406, 3.83913254737854, 640.6300659179688)","(0.5861412286758423, 0.49443379044532776, 0.43260684609413147)",1,"(0.5915623307228088, -0.3222390413284302)","(17.27492904663086, 154.6313934326172, 45.639427185058594)",1,4.5198822021484375,1,"(21.283021926879883, 3.780728578567505, 638.49853515625)","(0.45520928502082825, 0.49405190348625183, 0.42595282196998596)",1,cat
timestep_8,681939033,653765960,"(-0.06000538170337677, 0.859738826751709)","(-105.65540313720703, 23.660518646240234, -2.030057430267334)",1,4.98992919921875,1,"(-41.7464599609375, 2.4526898860931396, 640.3612060546875)","(0.5883177518844604, 0.49734240770339966, 0.432100772857666)",1,"(0.18057911098003387, 0.8479964733123779)","(-60.26467514038086, 24.96166229248047, -1.5565093755722046)",1,4.5253448486328125,1,"(19.659786224365234, 2.538294553756714, 637.8626708984375)","(0.45859095454216003, 0.4966546297073364, 0.42440226674079895)",1,cat
timestep_9,682455721,654285383,"(0.8592127561569214, 0.7958078980445862)","(67.77214050292969, 30.74449920654297, 0.5482796430587769)",1,5.3617095947265625,1,"(-38.54435729980469, 2.9380457401275635, 638.2390747070312)","(0.5818811655044556, 0.496208518743515, 0.42708727717399597)",1,"(1.08388090133667, 0.8831583261489868)","(110.15996551513672, 21.06548309326172, -2.974562168121338)",1,4.805908203125,1,"(23.270341873168945, 2.80989408493042, 637.7307739257812)","(0.4509280323982239, 0.496052086353302, 0.42438897490501404)",1,cat
timestep_10,682972411,654802053,"(0.9188969731330872, -0.2627819776535034)","(79.03266906738281, 148.0431671142578, 43.24147415161133)",1,5.3900604248046875,1,"(-39.407806396484375, 4.340644836425781, 637.9619140625)","(0.583755612373352, 0.4932427406311035, 0.42666614055633545)",1,"(1.1163711547851562, -0.31529074907302856)","(116.28984069824219, 153.86148071289062, 45.35918045043945)",1,4.81817626953125,1,"(22.188316345214844, 4.757935523986816, 638.5111083984375)","(0.4533003866672516, 0.4919862151145935, 0.426095187664032)",1,cat
