,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,626169889,598000566,"(-0.09955761581659317, 0.8894152641296387)","(-113.11766815185547, 20.372203826904297, -3.226958990097046)",1,5.3530731201171875,1,"(-33.674041748046875, -6.032411575317383, 661.489501953125)","(0.5687100887298584, 0.515426516532898, 0.47670090198516846)",1,"(0.11652906239032745, 0.8973293900489807)","(-72.3488998413086, 19.495235443115234, -3.546082019805908)",1,4.9098052978515625,1,"(28.161239624023438, -6.086431503295898, 661.3847045898438)","(0.4428964853286743, 0.5151435136795044, 0.47591885924339294)",1,cat
timestep_2,626669913,598499898,"(-0.07662678509950638, 0.8410523533821106)","(-108.79133605957031, 25.73111343383789, -1.2764344215393066)",1,5.3796539306640625,1,"(-33.01969909667969, -6.974710464477539, 667.8749389648438)","(0.5666535496711731, 0.5174095630645752, 0.4904820919036865)",1,"(0.15922312438488007, 0.8584426641464233)","(-64.29387664794922, 23.804141998291016, -1.9777957201004028)",1,4.9500579833984375,1,"(28.712318420410156, -7.181098937988281, 662.6400146484375)","(0.44189217686653137, 0.5173823833465576, 0.47868213057518005)",1,cat
timestep_3,627211600,599041993,"(0.9266101121902466, -0.2636834979057312)","(80.48789978027344, 148.14305114746094, 43.27788162231445)",1,5.276336669921875,1,"(-30.577028274536133, -5.695795059204102, 665.0830078125)","(0.5620394945144653, 0.5147739052772522, 0.48418644070625305)",1,"(1.109519362449646, -0.27197331190109253)","(114.99710845947266, 149.06161499023438, 43.61219787597656)",1,4.7985382080078125,1,"(31.47850799560547, -6.06963586807251, 665.296630859375)","(0.43657058477401733, 0.5151434540748596, 0.4847351014614105)",1,cat
timestep_4,627711625,599541923,"(0.9713820815086365, -0.2536691129207611)","(88.9349594116211, 147.03338623046875, 42.87400817871094)",1,5.1408843994140625,1,"(-29.006410598754883, -5.4798126220703125, 663.041748046875)","(0.5590704679489136, 0.5142953991889954, 0.479605495929718)",1,"(1.3412009477615356, -0.315035343170166)","(158.70814514160156, 153.83316040039062, 45.348915100097656)",1,4.79071044921875,1,"(32.78692626953125, -6.103666305541992, 673.5592041015625)","(0.43472549319267273, 0.5153176188468933, 0.502811074256897)",1,cat
timestep_5,627711625,599541923,"(0.9713820815086365, -0.2536691129207611)","(88.9349594116211, 147.03338623046875, 42.87400817871094)",1,5.1408843994140625,1,"(-29.006410598754883, -5.4798126220703125, 663.041748046875)","(0.5590704679489136, 0.5142953991889954, 0.479605495929718)",1,"(1.3412009477615356, -0.315035343170166)","(158.70814514160156, 153.83316040039062, 45.348915100097656)",1,4.79071044921875,1,"(32.78692626953125, -6.103666305541992, 673.5592041015625)","(0.43472549319267273, 0.5153176188468933, 0.502811074256897)",1,cat
timestep_6,628728332,600558923,"(-0.07620085030794144, 0.6890898942947388)","(-108.71097564697266, 42.56953430175781, 4.852288246154785)",1,5.094024658203125,1,"(-32.43511962890625, -7.10270357131958, 662.7701416015625)","(0.566042959690094, 0.5176115036010742, 0.47933468222618103)",1,"(0.20701146125793457, 0.6796185970306396)","(-55.27772521972656, 43.61902618408203, 5.234220504760742)",1,4.8305816650390625,1,"(29.042236328125, -7.849647045135498, 661.2658081054688)","(0.4410800635814667, 0.5187270641326904, 0.47572192549705505)",1,cat
timestep_7,629245022,601075347,"(-0.05499705672264099, 0.896786093711853)","(-104.71049499511719, 19.555458068847656, -3.524212598800659)",1,5.2619171142578125,1,"(-34.16070556640625, -7.2771992683410645, 665.8980712890625)","(0.5691751837730408, 0.5180076956748962, 0.48631009459495544)",1,"(0.18183200061321259, 0.858776867389679)","(-60.028297424316406, 23.76712989807129, -1.9913201332092285)",1,4.9589080810546875,1,"(27.57978630065918, -7.609385967254639, 660.7201538085938)","(0.4440057575702667, 0.5182418823242188, 0.47440436482429504)",1,cat
timestep_8,629761714,601592167,"(0.9712734222412109, -0.21676017343997955)","(88.91445922851562, 142.94363403320312, 41.38545227050781)",1,5.486572265625,1,"(-32.3978271484375, -5.334664344787598, 661.5303955078125)","(0.5661155581474304, 0.5139981508255005, 0.47666385769844055)",1,"(1.1653748750686646, -0.23135104775428772)","(125.53531646728516, 144.56040954589844, 41.973880767822266)",1,4.954193115234375,1,"(29.45250701904297, -5.614212512969971, 661.6456298828125)","(0.44029906392097473, 0.5141779184341431, 0.4766135811805725)",1,cat
timestep_9,630278402,602108290,"(0.9662023186683655, -0.21717587113380432)","(87.95771789550781, 142.9897003173828, 41.402198791503906)",1,5.407623291015625,1,"(-29.921302795410156, -4.8873515129089355, 660.1267700195312)","(0.5612304210662842, 0.5130475163459778, 0.4733728766441345)",1,"(1.1803481578826904, -0.15170368552207947)","(128.3603057861328, 135.73495483398438, 38.76169204711914)",1,4.8712310791015625,1,"(32.03483200073242, -5.750735282897949, 660.6365966796875)","(0.43493515253067017, 0.514424204826355, 0.47467824816703796)",1,cat
timestep_10,630278402,602108290,"(0.9662023186683655, -0.21717587113380432)","(87.95771789550781, 142.9897003173828, 41.402198791503906)",1,5.407623291015625,1,"(-29.921302795410156, -4.8873515129089355, 660.1267700195312)","(0.5612304210662842, 0.5130475163459778, 0.4733728766441345)",1,"(1.1803481578826904, -0.15170368552207947)","(128.3603057861328, 135.73495483398438, 38.76169204711914)",1,4.8712310791015625,1,"(32.03483200073242, -5.750735282897949, 660.6365966796875)","(0.43493515253067017, 0.514424204826355, 0.47467824816703796)",1,cat
